Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season,Value
242,Jermaine Kearse,NYJ,WR,28,14,9,0,0,0,0,0,0,0,0.0,0,76,37,371,10.03,1,0,0,1,0.0,0.0,43.0,80.1,83.1,61.6,0.0,95,0.0,2018,Waiver
243,Geronimo Allison,GNB,WR,24,5,4,0,0,0,0,0,0,0,0.0,0,30,20,303,15.15,2,1,0,2,0.0,0.0,42.0,62.3,65.3,52.3,0.0,96,0.0,2018,Waiver
244,Allen Hurns,DAL,WR,27,16,7,0,0,0,0,0,0,0,0.0,0,35,20,295,14.75,2,1,0,2,0.0,0.0,42.0,61.5,64.5,51.5,0.0,98,0.0,2018,Waiver
245,Jordan Matthews,PHI,WR,26,14,3,0,0,0,0,0,0,0,0.0,0,28,20,300,15.0,2,0,0,2,0.0,0.0,42.0,62.0,65.0,52.0,0.0,97,0.0,2018,Waiver
249,Zach Pascal,IND,WR,24,16,4,0,0,0,0,0,2,10,5.0,0,46,27,268,9.93,2,0,0,2,0.0,0.0,40.0,66.8,69.8,53.3,0.0,99,0.0,2018,Waiver
251,Ryan Grant,IND,WR,28,14,10,0,0,0,0,0,0,0,0.0,0,52,35,334,9.54,1,0,0,1,0.0,0.0,39.0,74.4,77.4,56.9,0.0,100,0.0,2018,Waiver
253,Paul Richardson,WAS,WR,26,7,4,0,0,0,0,0,2,9,4.5,0,35,20,262,13.1,2,0,0,2,0.0,0.0,39.0,59.1,62.1,49.1,0.0,101,0.0,2018,Waiver
256,DeVante Parker,MIA,WR,25,11,7,0,0,0,0,0,0,0,0.0,0,47,24,309,12.88,1,0,0,1,0.0,0.0,37.0,60.9,63.9,48.9,0.0,103,0.0,2018,Waiver
257,Tim Patrick,DEN,WR,25,16,4,0,0,0,0,0,3,17,5.67,0,41,23,315,13.7,1,2,1,1,0.0,0.0,37.0,60.2,64.2,48.7,0.0,102,0.0,2018,Waiver
260,Ted Ginn Jr.,NOR,WR,33,5,3,0,0,0,0,0,3,26,8.67,0,30,17,209,12.29,2,1,1,2,1.0,0.0,36.0,52.5,56.5,44.0,0.0,106,0.0,2018,Waiver
261,DaeSean Hamilton,DEN,WR,23,14,5,0,0,0,0,0,0,0,0.0,0,45,30,243,8.1,2,0,0,2,0.0,0.0,36.0,66.3,69.3,51.3,0.0,104,0.0,2018,Waiver
262,Laquon Treadwell,MIN,WR,23,15,7,0,0,0,0,0,0,0,0.0,0,53,35,302,8.63,1,0,0,1,0.0,0.0,36.0,71.2,74.2,53.7,0.0,105,0.0,2018,Waiver
263,Keke Coutee,HOU,WR,21,6,2,0,0,0,0,0,3,0,0.0,0,41,28,287,10.25,1,0,0,1,0.0,0.0,35.0,62.7,65.7,48.7,0.0,107,0.0,2018,Waiver
266,Pierre Garcon,SFO,WR,32,8,8,0,0,0,0,0,0,0,0.0,0,46,24,286,11.92,1,0,0,1,0.0,0.0,35.0,58.6,61.6,46.6,0.0,108,0.0,2018,Waiver
267,Isaiah McKenzie,2TM,WR,23,8,1,0,0,0,0,0,10,66,6.6,2,30,18,179,9.94,0,2,1,2,0.0,0.0,35.0,52.5,56.5,43.5,0.0,109,0.0,2018,Waiver
273,Keith Kirkwood,NOR,WR,24,8,1,0,0,0,0,0,0,0,0.0,0,21,13,209,16.08,2,0,0,2,0.0,0.0,33.0,45.9,48.9,39.4,0.0,113,0.0,2018,Waiver
275,Torrey Smith,CAR,WR,29,11,6,0,0,0,0,0,0,0,0.0,0,31,17,190,11.18,2,0,0,2,1.0,0.0,33.0,50.0,53.0,41.5,0.0,112,0.0,2018,Waiver
276,Equanimeous St. Brown,GNB,WR,22,12,7,0,0,0,0,0,1,5,5.0,0,36,21,328,15.62,0,0,0,0,0.0,0.0,33.0,54.3,57.3,43.8,0.0,111,0.0,2018,Waiver
277,Ryan Switzer,PIT,WR,24,16,1,0,0,0,0,0,6,21,3.5,0,44,36,253,7.03,1,2,0,1,0.0,0.0,33.0,69.4,72.4,51.4,0.0,110,0.0,2018,Waiver
278,Tavon Austin,DAL,WR,28,7,0,0,0,0,0,0,6,55,9.17,0,13,8,140,17.5,2,0,0,2,0.0,0.0,32.0,39.5,42.5,35.5,0.0,114,0.0,2018,Waiver
285,Maurice Harris,WAS,WR,26,12,7,0,0,0,0,0,2,10,5.0,0,47,28,304,10.86,0,1,0,0,0.0,0.0,31.0,59.4,62.4,45.4,0.0,115,0.0,2018,Waiver
287,T.J. Jones,DET,WR,26,15,3,0,0,0,0,0,0,0,0.0,0,26,19,190,10.0,2,0,0,2,0.0,0.0,31.0,50.0,53.0,40.5,0.0,116,0.0,2018,Waiver
289,Russell Shepard,NYG,WR,28,12,0,0,0,0,0,0,0,0,0.0,0,19,10,188,18.8,2,0,0,2,0.0,0.0,31.0,40.8,43.8,35.8,0.0,117,0.0,2018,Waiver
293,Trent Taylor,SFO,WR,24,14,0,0,0,0,0,0,0,0,0.0,0,41,26,215,8.27,1,1,0,1,1.0,0.0,30.0,55.5,58.5,42.5,0.0,118,0.0,2018,Waiver
295,Travis Benjamin,LAC,WR,29,12,3,0,0,0,0,0,7,41,5.86,0,24,12,186,15.5,1,0,0,1,0.0,0.0,29.0,40.7,43.7,34.7,0.0,119,0.0,2018,Waiver
296,Bruce Ellington,2TM,WR,27,7,3,0,1,0,0,0,1,2,2.0,0,42,31,224,7.23,1,1,0,1,0.0,0.0,29.0,59.6,62.6,44.1,0.0,120,0.0,2018,Waiver
302,James Washington,PIT,WR,22,14,6,0,0,0,0,0,0,0,0.0,0,38,16,217,13.56,1,0,0,1,0.0,0.0,28.0,43.7,46.7,35.7,0.0,121,0.0,2018,Waiver
304,Martavis Bryant,OAK,WR,27,8,2,0,0,0,0,0,3,23,7.67,0,27,19,266,14.0,0,1,1,0,0.0,0.0,27.0,45.9,49.9,36.4,0.0,124,0.0,2018,Waiver
307,Chris Moore,BAL,WR,25,16,0,0,0,0,0,0,5,17,3.4,0,25,19,196,10.32,1,0,0,1,0.0,0.0,27.0,46.3,49.3,36.8,0.0,122,0.0,2018,Waiver
308,Trent Sherfield,ARI,WR,22,13,2,0,0,0,0,0,0,0,0.0,0,28,19,210,11.05,1,0,0,1,0.0,0.0,27.0,46.0,49.0,36.5,0.0,123,0.0,2018,Waiver
311,Bennie Fowler,NYG,WR,27,10,5,0,0,0,0,0,0,0,0.0,0,27,16,199,12.44,1,1,0,1,0.0,0.0,26.0,41.9,44.9,33.9,0.0,125,0.0,2018,Waiver
