Player,Team,Pos,Fantasy Points Pts,Fantasy Points x-Pts,Fantasy Points +/-,Points Per Game PPG,Points Per Game x-PPG,Points Per Game +/-,#G,Receiving Rec,Receiving X-Rec,Receiving Yds,Receiving X-Yds,Receiving TD,Receiving X-TD,Rushing Yds,Rushing X-Yds,Rushing TD,Rushing X-TD
Raheem Mostert,SF,RB,93.7,82.7,11,11.7,10.3,1.4,8,16,14.13,156,107.52,1,0.0576,521,445.4398,2,3.34
Alec Ingold,LV,RB,23.4,22.4,1,1.5,1.4,0.1,16,12,11.95,110,98.63,1,0.8736,4,9.849,0,0.05
Adrian Peterson,DET,RB,118.9,134.1,-15.2,7.4,8.4,-0.9,16,12,14.68,101,108.56,0,0.5664,608,633.3862,7,8.19
Dare Ogunbowale,JAX,RB,24.9,38.9,-14,2.5,3.9,-1.4,10,10,15.64,54,122.11,0,0.2496,145,143.2858,0,0.5
Justice Hill,BLT,RB,10.5,16.4,-5.9,1.1,1.6,-0.6,10,5,4.42,20,23.4,0,0.4128,60,49.0686,0,0.75
Jonathan Ward,ARZ,RB,7.6,2.1,5.5,3.8,1.1,2.8,2,1,0.92,11,3.44,1,0.2208,0,0,0,0
Alex Collins,SEA,RB,20.6,13.4,7.2,6.9,4.5,2.4,3,1,1.54,4,14.65,0,0,77,71.2852,2,0.67
Anthony Sherman,KC,RB,7.8,5.8,2,0.7,0.5,0.2,12,1,1.64,5,15.35,1,0.336,8,13.7004,0,0.01
Tony Pollard,DAL,RB,106.8,103.6,3.2,6.7,6.5,0.2,16,28,33.19,193,208.13,1,1.5552,435,433.8856,4,2.24
Aaron Jones,GB,RB,235.4,206.9,28.5,16.8,14.8,2,14,47,49.46,355,343.39,2,3.0624,1104,837.6468,9,7.61
Myles Gaskin,MIA,RB,147.7,155.8,-8.1,14.8,15.6,-0.8,10,41,39.38,388,263.28,2,1.7664,584,570.3416,3,7.02
James White,NE,RB,92.1,89.8,2.3,6.6,6.4,0.2,14,49,49.44,375,349.99,1,1.4784,121,146.138,2,1.1
D'Onta Foreman,TEN,RB,16.5,13.9,2.6,3.3,2.8,0.5,5,1,0.74,5,2.71,1,0.4224,95,100.8616,0,0.1
Nick Chubb,CLV,RB,201.7,148.5,53.2,16.8,12.4,4.4,12,16,14.6,150,114.31,0,0.4992,1067,790.6766,12,7.95
Le'Veon Bell,KC,RB,66.6,73.1,-6.5,6.1,6.6,-0.6,11,16,16.9,138,114.9,0,0.7968,328,350.0368,2,2.23
Joshua Kelley,LAC,RB,73.7,99.8,-26.1,5.3,7.1,-1.9,14,23,20.54,148,134.7,0,0.5856,354,457.4742,2,4.47
