Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season,Value
364,Cameron Artis-Payne,CAR,RB,28,9,0,0,0,0,0,0,19,69,3.63,1,4,3,15,5.0,0,0,0,1,0.0,0.0,14.0,17.4,17.4,15.9,0.0,95,0.0,2018,Waiver
368,Ronald Jones II,TAM,RB,21,9,0,0,0,0,0,0,23,44,1.91,1,9,7,33,4.71,0,0,0,1,0.0,0.0,14.0,20.7,20.7,17.2,0.0,97,0.0,2018,Waiver
377,Adam Shaheen,CHI,RB,24,6,4,0,0,0,0,0,0,0,0.0,0,6,5,48,9.6,1,0,0,1,1.0,0.0,13.0,17.8,17.8,15.3,0.0,99,0.0,2018,Waiver
378,Darrel Williams,KAN,RB,23,6,0,0,0,0,0,0,13,44,3.38,0,3,3,27,9.0,1,0,0,1,0.0,0.0,13.0,16.1,16.1,14.6,0.0,98,0.0,2018,Waiver
383,Corey Grant,JAX,RB,27,5,1,0,0,0,0,0,13,40,3.08,0,12,9,67,7.44,0,0,0,0,0.0,0.0,11.0,19.7,19.7,15.2,0.0,100,0.0,2018,Waiver
386,Keith Ford,BUF,RB,24,2,1,0,0,0,0,0,21,79,3.76,0,5,3,21,7.0,0,0,0,0,0.0,0.0,10.0,13.0,13.0,11.5,0.0,103,0.0,2018,Waiver
387,John Kelly,LAR,RB,22,4,0,0,0,0,0,0,27,74,2.74,0,3,2,27,13.5,0,0,0,0,0.0,0.0,10.0,12.1,12.1,11.1,0.0,102,0.0,2018,Waiver
392,DeAndre Washington,OAK,RB,25,10,0,0,0,0,0,0,30,115,3.83,0,1,1,9,9.0,0,1,1,0,0.0,0.0,10.0,11.4,15.4,10.9,0.0,101,0.0,2018,Waiver
393,Charcandrick West,KAN,RB,27,3,0,0,0,0,0,0,2,-1,-0.5,0,3,2,37,18.5,1,0,0,1,0.0,0.0,10.0,11.6,11.6,10.6,0.0,104,0.0,2018,Waiver
395,D'Onta Foreman,HOU,RB,22,1,0,0,0,0,0,0,7,-1,-0.14,0,2,2,28,14.0,1,1,0,1,0.0,0.0,9.0,10.7,10.7,9.7,0.0,107,0.0,2018,Waiver
